Plan_Type,Smoker_Status,Number_of_Pref_classes,Number_Of_Deaths,Actual_Death_Amount,Exposure_Amount,AE_Expected_Death_QX7580E_by_Amount,AE_Expected_Death_QX2001VBT_by_Amount,AE_Expected_Death_QX2008VBT_by_Amount,AE_Expected_Death_QX2008VBTLU_by_Amount,AE_Expected_Death_QX2015VBT_by_Amount,AE_ExpDeathQx2015VBTwMI_byAmt,AE_Cen2MomP1wMI_byAmt,AE_Cen2MomP2wMI_byAmt,AE_Cen3MomP1wMI_byAmt,AE_Cen3MomP2wMI_byAmt,AE_Cen3MomP3wMI_byAmt,AE_Cen2MomP1_byAmt,AE_Cen2MomP2_byAmt,AE_Cen3MomP1_byAmt,AE_Cen3MomP2_byAmt,AE_Cen3MomP3_byAmt
UL,NonSmoker,3.0,18218.0,12612486302.0,1534057566384.047,0.5327,0.6114,0.6837,0.5619,0.7983,0.7952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VL,NonSmoker,2.0,18614.0,5193021148.0,1419808855154.0479,0.4293,0.5962,0.8686,0.6209,0.9913,0.9848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Other,NonSmoker,2.0,140.0,39941733.0,13300417839.775484,0.5019,0.6743,0.9669,0.6527,1.1437,1.1387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Term,NonSmoker,3.0,63292.0,22183760153.0,21304113610188.285,0.2890,0.4502,0.6949,0.4126,0.8321,0.8267,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
VL,,0.0,2842.0,212430227.0,151839060912.51187,0.6856,0.8852,1.0606,0.8780,1.1553,1.1458,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
VL,NonSmoker,4.0,382.0,180081464.0,168356964079.34738,0.3347,0.5137,0.7274,0.4329,0.8827,0.8813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Other,NonSmoker,4.0,23.0,20541397.0,77460625221.18513,0.0946,0.1552,0.2241,0.1229,0.2649,0.2655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ULSG,Smoker,2.0,4967.0,983941531.0,138318651064.3966,1.0634,0.7747,0.8158,0.6696,0.8444,0.8408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ULSG,UNKNOWN,0.0,5.0,450000.0,1386607294.8952227,0.3781,0.5137,0.5736,0.4726,0.6236,0.6350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Perm,NonSmoker,3.0,9114.0,2244537283.0,2219754490635.112,0.3583,0.5518,0.7984,0.4763,0.9512,0.9506,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
Perm,Smoker,2.0,8149.0,854421370.0,223265038378.61798,0.8647,0.6806,0.7913,0.6338,0.8896,0.8870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Term,Smoker,2.0,19630.0,3884687437.0,1622574581007.4712,0.8593,0.6502,0.8026,0.5694,0.9015,0.8951,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
Term,NonSmoker,0.0,57839.0,9323188068.0,6282092007115.085,0.3099,0.4738,0.7307,0.4606,0.8824,0.8756,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
VLSG,NonSmoker,2.0,6511.0,1912817852.0,669787160456.3662,0.4091,0.5801,0.8661,0.5892,1.0043,1.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VLSG,,0.0,353.0,84047207.0,93477029198.95421,0.8568,1.1843,1.4774,1.1477,1.5796,1.5670,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000
Perm,NonSmoker,4.0,465.0,70025657.0,69542878837.36536,0.3489,0.5353,0.7361,0.4406,0.8942,0.8952,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
VL,Smoker,0.0,15896.0,1429207056.0,168529766385.53137,0.9618,0.7750,0.8860,0.7763,1.0020,0.9937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UL,,0.0,29357.0,1692621300.0,520403360437.7197,0.7341,0.8888,1.0365,0.8947,1.0990,1.0929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ULSG,NonSmoker,2.0,15461.0,8315915537.0,464958444572.48,0.6320,0.7246,0.8317,0.7106,0.9209,0.9171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Perm,NonSmoker,0.0,533217.0,28555245669.0,4108880606231.2734,0.4675,0.6181,0.8243,0.6759,0.9542,0.9498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VLSG,Smoker,2.0,1242.0,310095836.0,84042818799.83092,0.9491,0.6917,0.8356,0.6281,0.9020,0.8973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UL,Smoker,0.0,71407.0,4633839382.0,390124323071.4404,1.1680,0.9546,1.0598,0.9495,1.2352,1.2248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Other,Smoker,0.0,106.0,7534221.0,722908036.8243339,1.3709,1.0993,1.1769,1.0253,1.3829,1.3751,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
ULSG,NonSmoker,4.0,8840.0,3600038678.0,1771206712363.635,0.3630,0.4959,0.6213,0.4154,0.7699,0.7692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Perm,UNKNOWN,0.0,19598.0,404458597.0,242974133573.52075,0.6380,0.7855,0.8975,0.7745,0.9817,0.9978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
